BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS,lat,lng,num_cafe_1000_meters,num_travel_agency_2000_meters,num_tourist_attraction_1000_meters,num_synagogue_3000_meters,num_real_estate_agency_1000_meters,num_shopping_mall_3000_meters
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1,1227,44,A5,29 HARBOR ROAD,10303,1,0,1,4288,1376,1965,1,A5,325000,6/27/2019,statenisland,29 HARBOR ROAD NYC,40.636238,-74.159875,0,0,2,0,0,1
5,NEW BRIGHTON,02 TWO FAMILY DWELLINGS,1,28,31,B2,241 WESTERVELT AVENUE,10301,2,0,2,3552,2500,1901,1,B2,626288,5/16/2019,statenisland,241 WESTERVELT AVENUE NYC,40.6422293,-74.0830445,2,0,7,0,2,1
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,1,12064,19,A1,126-13 INWOOD STREET,11436,1,0,1,2820,1264,1930,1,A1,401544,3/28/2019,queens,126-13 INWOOD STREET NYC,40.673058,-73.792418,2,0,1,0,1,0
5,DONGAN HILLS,01 ONE FAMILY DWELLINGS,1,3334,28,A2,85 HENRY PLACE,10305,1,0,1,4500,1242,1965,1,A2,700000,4/24/2019,statenisland,85 HENRY PLACE NYC,40.5902427,-74.0917976,6,0,1,1,2,0
3,PROSPECT HEIGHTS,02 TWO FAMILY DWELLINGS,1,1122,51,B9,887 PACIFIC STREET,11238,2,0,2,2000,1920,1920,1,B9,1700000,7/22/2019,brooklyn,887 PACIFIC STREET NYC,40.6807095,-73.9656819,20,4,9,20,2,0
5,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2371,87,A5,52 BOGOTA STREET,10314,1,0,1,1800,1160,1993,1,A5,354900,4/29/2019,statenisland,52 BOGOTA STREET NYC,40.586551,-74.147583,0,0,1,4,0,0
3,FLATLANDS,01 ONE FAMILY DWELLINGS,1,7873,72,A1,1682 EAST 49TH STREET,11234,1,0,1,2000,1648,1920,1,A1,749000,8/6/2019,brooklyn,1682 EAST 49TH STREET NYC,40.6197255,-73.9282093,6,1,0,7,3,0
4,ROSEDALE,02 TWO FAMILY DWELLINGS,1,13254,7,B2,138-16 BROOKVILLE BOULEVARD,11422,2,0,2,3264,1955,2016,1,B2,835000,10/4/2019,queens,138-16 BROOKVILLE BOULEVARD NYC,40.6683046,-73.7372419,3,1,2,1,0,0
3,OCEAN HILL,02 TWO FAMILY DWELLINGS,1,1506,51,B9,535 BAINBRIDGE STREET,11233,2,0,2,2000,2700,1910,1,B9,820000,4/30/2019,brooklyn,535 BAINBRIDGE STREET NYC,40.6829589,-73.915594,17,5,2,4,4,2
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,3062,38,A1,77-17 66TH ROAD,11379,1,0,1,2224,1568,1925,1,A1,697500,8/6/2019,queens,77-17 66TH ROAD NYC,40.714765,-73.876841,3,0,1,1,1,2
3,BUSHWICK,03 THREE FAMILY DWELLINGS,1,3380,47,C0,1057 JEFFERSON AVENUE,11221,3,0,3,2000,3000,1915,1,C0,1300000,11/12/2019,brooklyn,1057 JEFFERSON AVENUE NYC,40.6879433,-73.9168127,20,3,3,5,3,1
3,FLATLANDS,01 ONE FAMILY DWELLINGS,1,7841,5,A9,4311 AVENUE M,11234,1,0,1,2000,1420,1920,1,A9,655000,10/18/2019,brooklyn,4311 AVENUE M NYC,40.6211908,-73.9333916,4,2,1,8,2,1
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4958,53,B1,3951 HILL AVENUE,10466,2,0,2,2660,2390,2016,1,B1,763688,8/21/2019,bronx,3951 HILL AVENUE NYC,40.890021,-73.839013,3,1,1,0,1,0
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6266,35,B3,1172 79TH STREET,11228,2,0,2,2333,1248,1920,1,B3,999000,12/16/2019,brooklyn,1172 79TH STREET NYC,40.6194727,-74.0125917,6,4,2,16,1,0
4,REGO PARK,01 ONE FAMILY DWELLINGS,1,3162,36,A5,72-09 DANE PLACE,11375,1,0,1,1764,1440,1945,1,A5,773000,1/15/2019,queens,72-09 DANE PLACE NYC,40.720139,-73.855827,10,2,4,4,3,2
2,PARKCHESTER,03 THREE FAMILY DWELLINGS,1,4022,7,C0,540 VAN NEST AVENUE,10460,3,0,3,2375,2580,1901,1,C0,650000,1/30/2019,bronx,540 VAN NEST AVENUE NYC,40.841315,-73.869418,9,2,4,1,1,6
4,OZONE PARK,02 TWO FAMILY DWELLINGS,1,9000,16,B3,95-20 76TH STREET,11416,2,0,2,1700,1088,1920,1,B3,320000,9/27/2019,queens,95-20 76TH STREET NYC,40.682091,-73.862825,8,4,1,0,1,0
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,1,10256,33,A9,172-05 109TH AVENUE,11433,1,0,1,1642,1651,1920,1,A9,325000,7/30/2019,queens,172-05 109TH AVENUE NYC,40.698406,-73.782573,2,1,3,0,0,0
3,OCEAN HILL,02 TWO FAMILY DWELLINGS,1,1520,68,B1,237A SUMPTER STREET,11233,2,0,2,1783,2400,1920,1,B1,1250000,4/30/2019,brooklyn,237A SUMPTER STREET NYC,40.680695,-73.915803,15,4,3,3,2,1
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6152,48,A1,36-19 203RD STREET,11361,1,0,1,3880,1778,1940,1,A1,1102500,4/30/2019,queens,36-19 203RD STREET NYC,40.7643233,-73.7832369,14,1,1,0,3,2
3,MIDWOOD,01 ONE FAMILY DWELLINGS,1,7639,39,A1,1335 EAST 21 STREET,11210,1,0,1,3000,1680,1920,1,A1,1180000,9/5/2019,brooklyn,1335 EAST 21 STREET NYC,40.6206863,-73.9541329,6,3,1,18,2,2
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,1,12064,1,A1,126-41 INWOOD STREET,11436,1,0,1,2850,1320,1930,1,A1,400000,8/9/2019,queens,126-41 INWOOD STREET NYC,40.6722517,-73.7926827,2,0,1,0,1,0
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,1,11658,32,A1,11448 133 STREET,11420,1,0,1,2367,1568,1930,1,A1,656000,1/25/2019,queens,11448 133 STREET NYC,40.680622,-73.808522,1,1,2,0,0,0
4,QUEENS VILLAGE,07 RENTALS - WALKUP APARTMENTS,2A,11085,25,C3,212-10 99TH AVENUE,11429,4,0,4,2000,2400,1931,2,C3,790000,3/19/2019,queens,212-10 99TH AVENUE NYC,40.714023,-73.746328,4,1,2,0,1,0
