BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS,lat,lng,num_cafe_1000_meters,num_cafe_500_meters,num_tourist_attraction_1000_meters
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,4771,38,B1,766 EAST 51ST STREET,11203.0,2.0,0.0,2.0,2000.0,2112.0,1930.0,1,B1,625000,2019-09-26,brooklyn,766 EAST 51ST STREET NYC,40.64259970000001,-73.9286319,4,2,2
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,3033,5,A2,73-24 PENELOPE AVENUE,11379.0,1.0,0.0,1.0,3600.0,1304.0,1950.0,1,A2,950000,2019-06-19,queens,73-24 PENELOPE AVENUE NYC,40.7160439,-73.881376,3,1,1
5,ARROCHAR,01 ONE FAMILY DWELLINGS,1,3108,62,A5,167 SAND LANE,10305.0,1.0,0.0,1.0,2000.0,1870.0,2018.0,1,A5,595676,2019-09-04,statenisland,167 SAND LANE NYC,40.5955274,-74.06948679999998,0,0,2
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1,1234,57,A2,308 NETHERLAND AVENUE,10303.0,1.0,0.0,1.0,2575.0,750.0,1925.0,1,A2,349900,2019-05-01,statenisland,308 NETHERLAND AVENUE NYC,40.8831536,-73.91183259999998,15,3,7
4,FOREST HILLS,03 THREE FAMILY DWELLINGS,1,2186,133,C0,65-21 110TH STREET,11375.0,3.0,0.0,3.0,2700.0,2764.0,2017.0,1,C0,1476463,2019-04-11,queens,65-21 110TH STREET NYC,40.7317705,-73.8464042,4,2,2
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS,1,3398,65,A5,323 QUINTARD STREET,10305.0,1.0,0.0,1.0,2500.0,1440.0,1994.0,1,A5,535000,2019-09-30,statenisland,323 QUINTARD STREET NYC,40.5901799,-74.0800158,2,0,3
5,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS,1,6796,10,A5,139B SHARROTT AVENUE,10309.0,1.0,0.0,1.0,2760.0,1400.0,2002.0,1,A5,615000,2019-06-27,statenisland,139B SHARROTT AVENUE NYC,40.52032120000001,-74.212974,1,1,1
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4957,57,A1,3919 MURDOCK AVENUE,10466.0,1.0,0.0,1.0,2500.0,1534.0,1930.0,1,A1,505000,2019-09-05,bronx,3919 MURDOCK AVENUE NYC,40.889275,-73.839721,3,0,1
4,FOREST HILLS,01 ONE FAMILY DWELLINGS,1,3207,40,A1,89-28 69TH ROAD,11375.0,1.0,0.0,1.0,2001.0,1255.0,1930.0,1,A1,750000,2019-01-30,queens,89-28 69TH ROAD NYC,40.711469,-73.85428499999998,7,6,0
4,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,1,7231,99,A2,180-24 80TH DRIVE,11432.0,1.0,0.0,1.0,3984.0,880.0,1945.0,1,A2,998000,2019-01-03,queens,180-24 80TH DRIVE NYC,40.72538400000001,-73.786601,6,4,1
