BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,FINAL_ADDRESS
1,39,10,4,742,1035,109,10011.0,1.0,0.0,1.0,0.0,0.0,1950.0,2,109,920000,2019-09-27,"305 WEST 18TH STREET, 5F NYC"
4,143,1,0,3781,17,10,11379.0,2.0,0.0,2.0,2500.0,2100.0,1920.0,1,10,665000,2019-10-02,79-18 67TH ROAD NYC
4,141,0,0,2773,38,5,11379.0,1.0,0.0,1.0,1950.0,1018.0,1960.0,1,5,670000,2019-08-22,62-03 65TH STREET NYC
3,63,10,4,2060,1242,109,11201.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,1800000,2019-10-23,"150 MYRTLE AVENUE, 3606 NYC"
1,224,10,4,1551,1174,109,10128.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,5700000,2019-11-06,"360 EAST 89TH STREET, 28A NYC"
4,244,1,0,8916,74,10,11421.0,2.0,0.0,2.0,5000.0,2216.0,1920.0,1,10,950000,2019-02-12,8811 80TH STREET NYC
3,78,0,0,5048,66,4,11226.0,1.0,0.0,1.0,2450.0,3348.0,1901.0,1,4,1500000,2019-08-15,375 PARKSIDE AVENUE NYC
4,141,6,5,2739,50,15,11378.0,6.0,0.0,6.0,3300.0,5400.0,1931.0,2,15,1510000,2019-09-18,58-34 FRESH POND ROAD NYC
4,111,0,0,10915,15,1,11429.0,1.0,0.0,1.0,3300.0,1568.0,1920.0,1,1,640000,2019-01-28,104-18 209TH ST NYC
5,206,0,0,3110,44,5,10305.0,1.0,0.0,1.0,2250.0,1348.0,2018.0,1,5,554946,2019-07-09,205 SAND LANE NYC
1,224,10,4,1543,1021,109,10075.0,1.0,0.0,1.0,0.0,0.0,1973.0,2,109,720000,2019-11-01,"345 EAST 80TH STREET, 17A NYC"
3,241,12,7,2131,1004,106,11249.0,1.0,0.0,1.0,0.0,0.0,1910.0,2,106,765000,2019-10-31,"412 BEDFORD AVENUE, 4 NYC"
4,121,0,0,9945,44,1,11432.0,1.0,0.0,1.0,6520.0,1750.0,1940.0,1,1,1031000,2019-12-12,86-36 AVON STREET NYC
4,189,1,0,3385,66,9,11385.0,2.0,0.0,2.0,1858.0,1980.0,1901.0,1,9,845000,2019-04-16,20-21 LINDEN STREET NYC
4,84,0,0,5534,141,0,11358.0,1.0,0.0,1.0,4000.0,1485.0,1955.0,1,0,900000,2019-06-14,45-55 192ND STREET NYC
5,4,0,0,3108,62,5,10305.0,1.0,0.0,1.0,2000.0,1870.0,2018.0,1,5,595676,2019-09-04,167 SAND LANE NYC
4,84,0,0,5569,16,0,11365.0,1.0,0.0,1.0,4000.0,945.0,1955.0,1,0,710000,2019-03-29,49-39 166TH STREET NYC
1,226,37,8,1171,2444,121,10069.0,0.0,1.0,1.0,0.0,0.0,2004.0,4,121,6500000,2019-06-28,"240 RIVERSIDE BOULEVARD, SU P NYC"
3,8,1,0,6464,148,11,11214.0,2.0,0.0,2.0,2127.0,1687.0,1940.0,1,11,990000,2019-05-13,8846 19TH AVENUE NYC
1,39,10,4,764,1315,109,10011.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,3026953,2019-03-20,"209 WEST 14TH STREET, 6B NYC"
4,207,2,0,10122,37,13,11433.0,3.0,0.0,3.0,4000.0,2216.0,1925.0,1,13,820000,2019-01-31,106-29 154TH STREET NYC
1,134,10,4,248,1381,109,10002.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,1318613,2019-06-24,"250 SOUTH STREET, 38F NYC"
3,33,1,0,3388,55,10,11221.0,2.0,0.0,2.0,2000.0,3000.0,1920.0,1,10,25000,2019-04-02,1055 HANCOCK STREET NYC
5,98,0,0,5117,61,2,10308.0,1.0,0.0,1.0,4000.0,1884.0,1960.0,1,2,780000,2019-08-20,191 GREENCROFT AVENUE NYC
4,69,0,0,2471,65,2,11373.0,1.0,0.0,1.0,2142.0,918.0,1940.0,1,2,815000,2019-08-27,51-51 GORSLINE STREET NYC
4,84,1,0,5299,37,11,11358.0,2.0,0.0,2.0,4000.0,1324.0,1935.0,1,11,800000,2019-11-08,35-14 172ND STREET NYC
1,224,10,4,1543,1019,109,10075.0,1.0,0.0,1.0,0.0,0.0,1973.0,2,109,695000,2019-09-24,"345 EAST 80TH STREET, 15A NYC"
3,216,9,4,783,1105,109,11220.0,1.0,0.0,1.0,0.0,0.0,1937.0,2,107,430950,2019-08-08,"4907 4TH AVENUE, 2C NYC"
4,65,1,0,1092,65,11,11369.0,2.0,0.0,2.0,3897.0,2024.0,1950.0,1,11,10,2019-09-21,23-33 98TH STREET NYC
5,49,5,0,649,9,40,10304.0,0.0,0.0,0.0,5000.0,0.0,1915.0,1,39,824782,2019-12-02,9A CORNELL PLACE NYC
2,152,21,8,2700,39,42,10459.0,0.0,3.0,3.0,2006.0,1916.0,1949.0,4,41,10,2019-12-17,868 EAST 167 STREET NYC
1,146,10,4,1320,1198,109,10017.0,1.0,0.0,1.0,0.0,0.0,1982.0,2,109,1350000,2019-02-28,"240 EAST 47TH STREET, 33B NYC"
3,173,12,7,1023,1201,106,11215.0,1.0,0.0,1.0,0.0,0.0,2003.0,2,106,785000,2019-02-07,"392 11TH STREET, 1A NYC"
4,207,0,0,10252,3,5,11433.0,1.0,0.0,1.0,1900.0,646.0,1950.0,1,5,440000,2019-09-24,107-05 WATSON PLACE NYC
1,146,10,4,1341,1236,109,10017.0,1.0,0.0,1.0,0.0,0.0,1962.0,2,109,651680,2019-10-10,"321 EAST 48TH STREET, 4G NYC"
3,23,9,4,5468,1109,107,11204.0,1.0,0.0,1.0,0.0,0.0,1920.0,2,107,612000,2019-10-04,"1865 52ND STREET, C-1I NYC"
3,44,6,6,1929,16,14,11205.0,7.0,0.0,7.0,1417.0,3000.0,1905.0,2,14,2155000,2019-04-11,299 VANDERBILT AVENUE NYC
4,48,1,0,4050,8,10,11356.0,2.0,0.0,2.0,4677.0,2352.0,1950.0,1,10,900000,2019-09-24,14-15 115TH STREET NYC
3,170,0,0,8385,1,1,11234.0,1.0,0.0,1.0,2500.0,1148.0,1920.0,1,1,610000,2019-01-31,6329 AVENUE T NYC
5,96,0,0,3156,36,1,10304.0,1.0,0.0,1.0,5000.0,1144.0,1920.0,1,1,579000,2019-03-28,1924 CLOVE ROAD NYC
5,160,0,0,4052,23,2,10306.0,1.0,0.0,1.0,4000.0,1092.0,1960.0,1,2,475000,2019-10-03,228 TITUS AVENUE NYC
2,127,0,0,3253,138,5,10463.0,1.0,0.0,1.0,1858.0,1578.0,1920.0,1,5,540750,2019-01-24,2860 KINGSBRIDGE TERR NYC
4,186,1,0,9432,48,11,11419.0,2.0,0.0,2.0,1857.0,1556.0,1925.0,1,11,700000,2019-10-16,101-53 114TH STREET NYC
4,12,0,0,6015,6,1,11360.0,1.0,0.0,1.0,5054.0,2548.0,1920.0,1,1,1150000,2019-02-25,28-43 214TH STREET NYC
2,53,0,0,5415,9,5,10465.0,1.0,0.0,1.0,2500.0,1836.0,1975.0,1,5,565000,2019-09-20,1528 STADIUM AVENUE NYC
3,240,10,4,2331,1122,109,11211.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,109,973500,2019-07-01,"308 NORTH 7TH STREET, 4F NYC"
3,36,1,0,450,30,11,11231.0,2.0,0.0,2.0,1842.0,2280.0,1899.0,1,11,2828000,2019-10-30,292 CARROLL STREET NYC
3,240,34,8,2298,1007,116,11211.0,0.0,1.0,1.0,0.0,0.0,2006.0,4,116,885000,2019-06-20,"170 NORTH 11 STREET, P7 NYC"
4,84,9,4,4410,1303,107,11354.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,107,369096,2019-04-25,"31-47 137TH STREET, 2A NYC"
4,207,1,0,10133,146,10,11433.0,2.0,0.0,2.0,2102.0,2108.0,1993.0,1,10,350000,2019-11-22,107-28 155TH STREET NYC
5,178,0,0,7702,313,5,10309.0,1.0,0.0,1.0,1666.0,1330.0,2002.0,1,5,499000,2019-06-26,54 CRANBERRY COURT NYC
4,189,12,7,3431,1007,106,11385.0,1.0,0.0,1.0,0.0,0.0,1930.0,2,106,860000,2019-03-25,"1813 GREENE AVENUE, 4R NYC"
4,60,0,0,8288,2,5,11362.0,1.0,0.0,1.0,3096.0,1520.0,1970.0,1,5,830000,2019-04-15,240-02 65TH AVENUE NYC
3,14,10,4,2000,1042,109,11216.0,1.0,0.0,1.0,0.0,0.0,2003.0,2,109,529000,2019-06-05,"1240 BEDFORD AVENUE, 6C NYC"
3,182,10,4,1129,1219,109,11238.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,1891241,2019-04-08,"550 VANDERBILT AVENUE, 1201 NYC"
4,52,6,5,1959,38,18,11368.0,6.0,0.0,6.0,2000.0,4100.0,1990.0,2,15,1087172,2019-06-28,5831 PENROD STREET NYC
4,189,1,0,3591,23,9,11385.0,2.0,0.0,2.0,1948.0,3276.0,1915.0,1,9,950000,2019-08-12,72-60 61ST STREET NYC
2,127,7,4,3248,131,22,10468.0,19.0,0.0,19.0,4464.0,21840.0,1927.0,2,21,3680000,2019-08-16,2715 CLAFLIN AVENUE NYC
4,15,0,0,4556,36,1,11357.0,1.0,0.0,1.0,3600.0,1713.0,1925.0,1,1,858000,2019-11-12,10-09 157TH ST NYC
5,138,0,0,701,68,5,10314.0,1.0,0.0,1.0,2401.0,1434.0,2014.0,1,5,688888,2019-08-09,23 TILLMAN STREET NYC
4,48,1,0,4037,12,10,11356.0,2.0,0.0,2.0,4000.0,1688.0,1930.0,1,10,830000,2019-08-07,12-35 116TH STREET NYC
4,121,3,1,9882,1062,108,11432.0,1.0,0.0,1.0,0.0,0.0,1989.0,1,108,460000,2019-05-16,"172-43 HIGHLAND AVENUE, 5C NYC"
